Code,Diet,Temp,Hatched,F2S,S2T,T2Fo,Fo2Fi,Fi2A,F2A,Death_stage,Sex,PL,BL,PW,,,,,,,,,,
1C28,C,Control,Y,7,5,4,6,8,30,,F,6.46,14.51,3.55,,,,,,,,,,
1A28,A,Control,Y,5,5,5,5,11,31,,M,5.51,10.09,2.49,,,,,,,,,,
2C28,C,Control,N,,,,,,,,,,,,,,,,,,,,,
2A28,A,Control,Y,6,6,5,6,17,40,,F,6.4,10.02,2.78,,,,,,,,,,
3C28,C,Control,Y,6,4,3,8,8,29,,M,5.67,10.87,2.83,,,,,,,,,,
3A28,A,Control,Y,7,4,5,6,,,,,,,,,,,,,,,,,
4C28,C,Control,Y,6,5,6,8,10,35,,F,6.16,11.36,3.43,,,,,,,,,,
4A28,A,Control,Y,6,7,19,,,,,,,,,,,,,,,,,,
5C28,C,Control,Y,,,,,,,1st,,,,,,,,,,,,,,
5A28,A,Control,Y,5,5,5,6,14,35,,M,5.63,7.99,2.55,,,,,,,,,,
6C28,C,Control,Y,7,6,5,6,10,34,,F,6.23,13.1,3.28,,,,,,,,,,
7C28,C,Control,Y,6,5,5,5,8,29,,M,5.51,10.95,2.77,,,,,,,,,,
7A28,A,Control,Y,,,,,,,1st,,,,,,,,,,,,,,
8C28,C,Control,Y,6,4,8,15,,,,,,,,,,,,,,,,,
8A28,A,Control,Y,6,5,5,7,13,36,,F,6.05,9.52,2.59,,,,,,,,,,
9C28,C,Control,Y,6,7,4,6,8,31,,F,5.76,13.22,3.04,,,,,,,,,,
9A28,A,Control,Y,6,4,5,8,9,32,,,,,,,,,,,,,,,
10C28,C,Control,Y,7,4,6,5,9,31,,F,6.46,13.14,3.38,,,,,,,,,,
10A28,A,Control,Y,6,5,5,6,15,37,,F,6.47,10.26,2.86,,,,,,,,,,
11C28,C,Control,Y,6,5,5,6,11,33,,M,5.07,9.24,2.39,,,,,,,,,,
11A28,A,Control,Y,7,6,5,5,,,,,,,,,,,,,,,,,
12C28,C,Control,Y,7,5,4,5,8,29,,F,5.97,13.26,3.18,,,,,,,,,,
12A28,A,Control,Y,6,6,6,15,,,,,,,,,,,,,,,,,
13C28,C,Control,Y,6,5,5,5,9,30,,M,5.15,10.06,2.81,,,,,,,,,,
13A28,A,Control,Y,7,5,4,6,14,36,,M,5.52,8.45,2.32,,,,,,,,,,
14C28,C,Control,Y,6,4,4,5,9,28,,M,4.95,10.71,2.64,,,,,,,,,,
14A28,A,Control,Y,6,4,5,7,,,,,,,,,,,,,,,,,
15C28,C,Control,Y,6,3,6,7,7,29,,M,5.63,10.64,2.94,,,,,,,,,,
15A28,A,Control,Y,5,5,4,6,15,35,,M,5.49,8.03,2.55,,,,,,,,,,
16C28,C,Control,Y,6,5,3,6,9,29,,F,5.56,13.75,3.17,,,,,,,,,,
16A28,A,Control,Y,6,4,5,6,15,36,,,,,,,,,,,,,,,
17C28,C,Control,Y,5,4,5,5,8,27,,M,5.32,10.08,2.8,,,,,,,,,,
17A28,A,Control,Y,6,4,5,5,15,35,,M,5.72,10.73,2.86,,,,,,,,,,
18C28,C,Control,Y,,,,,,,1st,,,,,,,,,,,,,,
18A28,A,Control,Y,6,4,5,15,,,,,,,,,,,,,,,,,
19C28,C,Control,Y,6,4,5,6,8,29,,M,5.68,10.83,2.95,,,,,,,,,,
19A28,A,Control,Y,4,4,5,8,,,,,,,,,,,,,,,,,
20C28,C,Control,Y,6,4,4,5,8,27,,M,5.65,10.78,2.92,,,,,,,,,,
20A28,A,Control,Y,6,5,8,,,,,,,,,,,,,,,,,,
21C28,C,Control,Y,6,4,5,5,8,28,,M,5.61,10.73,2.86,,,,,,,,,,
21A28,A,Control,Y,7,5,5,7,,,,,,,,,,,,,,,,,
22C28,C,Control,Y,6,4,5,5,9,29,,,,,,,,,,,,,,,
22A28,A,Control,Y,6,4,5,6,13,34,,M,5.55,9.73,2.57,,,,,,,,,,
23C28,C,Control,Y,6,5,,,,,3rd,,,,,,,,,,,,,,
23A28,A,Control,Y,6,4,5,5,,,,,,,,,,,,,,,,,
24C28,C,Control,Y,7,4,4,8,11,34,,F,6.5,11.55,2.99,,,,,,,,,,
24A28,A,Control,N,,,,,,,,,,,,,,,,,,,,,
25C28,C,Control,Y,4,5,4,5,8,26,,M,5.81,10.82,3.08,,,,,,,,,,
25A28,A,Control,Y,6,5,5,5,10,31,,M,5.71,8.72,2.58,,,,,,,,,,
26C28,C,Control,Y,6,5,4,6,8,29,,M,5.62,10.77,2.59,,,,,,,,,,
26A28,A,Control,Y,6,4,5,6,,,,,,,,,,,,,,,,,
